chinese_name,code_name,overridepartnerskilltextid,tribe,bpclass,pictorial_id,size,rarity,element_1,genuscategory,hp,melee_attack,remote_attack,defense,support,craftspeed,being_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,power_score
Night Caller,IceHorse_Dark,IceHorse_Dark,IceHorse_Dark,BOSS_IceHorse_Dark,-1,XL,20,Dark,FourLegged,420,100,140,135,70,100,10%,70%,10,8560,Boss,120,120,1000,1600,440,1,0,Legend,0,0,475,1,7,25,90,1,1,9,0,1,300,50,100,0,0,0,0,0,4,0,0,0,0,0,0,0,795
Vortex Dragon,JetDragon,JetDragon,JetDragon,BOSS_JetDragon,-1,XL,20,Dragon,Dragon,330,100,140,110,100,100,10%,70%,10,8680,Boss,600,800,1700,3300,1250,1,0,Legend,0,0,600,1,9,25,90,1,0,9,0,1,100,50,90,0,0,0,0,0,3,0,0,3,0,0,0,0,680
Shui Linger,Kelpie,Kelpie,Kelpie,BOSS_Kelpie,-1,L,1,Water,Dragon,70,100,70,70,100,100,20%,70%,10,1260,NotInterested,50,100,700,900,400,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1260,0,1,0,0,0,0,0,0,0,0,0,0,0,310
Huo Linger,Kelpie_Fire,Kelpie_Fire,Kelpie_Fire,BOSS_Kelpie_Fire,-1,L,2,Fire,Dragon,70,100,70,70,100,100,20%,70%,10,1240,NotInterested,50,100,700,900,400,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1270,1,0,0,0,0,0,0,0,0,0,0,0,0,310
King Melupa,KingAlpaca,KingAlpaca,KingAlpaca,BOSS_KingAlpaca,-1,XL,8,Normal,FourLegged,120,100,85,90,100,100,20%,70%,10,5800,NotInterested,80,80,500,800,290,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,90,470,0,0,0,0,0,1,0,0,0,0,0,0,0,395
冰帝美露帕,KingAlpaca_Ice,KingAlpaca_Ice,KingAlpaca_Ice,BOSS_KingAlpaca_Ice,-1,XL,9,Ice,FourLegged,120,100,85,90,100,100,20%,70%,10,6100,NotInterested,80,80,500,800,290,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,90,440,0,0,0,0,0,1,0,0,0,0,3,0,0,395
焰煌,KingBahamut,KingBahamut,KingBahamut,BOSS_KingBahamut,-1,XL,9,Fire,FourLegged,100,150,125,120,50,100,20%,70%,10,10520,Boss,150,400,700,1000,500,1,0,FieldBoss,0,0,600,1,9,25,90,1,0,9,0,1,100,50,10,3,0,0,0,0,0,0,4,0,0,0,0,0,495
雷角马,Kirin,Kirin,Kirin,BOSS_Kirin,-1,XL,5,Electricity,FourLegged,80,110,105,105,100,100,20%,63%,10,4280,Boss,80,130,720,1200,425,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,680,0,0,0,2,0,0,1,0,0,0,0,0,0,400
火美狐,Kitsunebi,Kitsunebi,Kitsunebi,BOSS_Kitsunebi,-1,S,1,Fire,FourLegged,65,70,75,70,100,100,40%,77%,10,2560,NotInterested,40,80,400,550,240,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1400,1,0,0,0,0,0,0,0,0,0,0,0,0,280
融焰娘,LavaGirl,LavaGirl,LavaGirl,BOSS_LavaGirl,-1,S,1,Fire,Humanoid,60,100,70,80,100,100,20%,77%,10,2500,NotInterested,65,98,250,375,140,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1405,1,0,0,0,1,0,0,0,0,0,0,1,1,310
趴趴 Catfish,LazyCatfish,LazyCatfish,LazyCatfish,BOSS_LazyCatfish,-1,XL,4,Earth,Fish,100,100,70,95,100,100,40%,70%,10,4690,NotInterested,100,150,450,600,300,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,895,0,1,0,0,0,0,0,2,1,0,0,1,0,365
佩克龙,LazyDragon,LazyDragon,LazyDragon,BOSS_LazyDragon,-1,XL,8,Dragon,Monster,110,110,100,70,100,100,20%,70%,10,10240,Boss,40,60,650,900,150,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,280,0,2,0,0,0,0,0,0,0,0,0,1,0,390
派克龙,LazyDragon_Electric,LazyDragon_Electric,LazyDragon_Electric,BOSS_LazyDragon_Electric,-1,XL,9,Dragon,Monster,110,110,110,75,100,100,20%,70%,10,10380,Boss,40,60,650,900,150,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,270,0,0,0,3,0,0,0,0,0,0,0,1,0,405
黑月女王,LilyQueen_Dark,LilyQueen_Dark,LilyQueen_Dark,BOSS_LilyQueen_Dark,-1,XL,10,Dark,Humanoid,110,100,110,115,100,100,20%,70%,10,7610,Boss,60,100,450,550,275,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,30,210,0,0,0,0,3,2,0,0,0,3,0,0,0,435
荊棘魔仙,LittleBriarRose,LittleBriarRose,LittleBriarRose,BOSS_LittleBriarRose,-1,XL,1,Leaf,Humanoid,80,80,80,80,100,100,20%,70%,10,1140,NotInterested,50,100,400,550,250,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,1320,0,0,1,0,1,1,0,0,0,2,0,1,0,320
朋克蜥,LizardMan,LizardMan,LizardMan,BOSS_LizardMan,-1,XL,2,Dark,Humanoid,80,90,80,50,100,100,40%,70%,10,1720,Boss,100,140,600,800,270,1,0,FieldBoss,0,0,225,1,3,25,90,1,1,9,1,1,100,50,1120,0,0,0,0,1,1,0,0,0,0,0,1,0,300
热血蜥,LizardMan_Fire,LizardMan_Fire,LizardMan_Fire,BOSS_LizardMan_Fire,-1,XL,3,Fire,Humanoid,80,90,80,50,100,100,20%,70%,10,1640,Boss,100,140,400,550,270,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,100,50,1140,1,0,0,0,1,1,0,0,0,0,0,1,0,300
狱焰王,Manticore,Manticore,Manticore,BOSS_Manticore,-1,XL,7,Fire,FourLegged,105,100,110,80,100,100,20%,70%,10,4040,Boss,90,180,750,1000,465,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,710,3,0,0,0,0,0,2,0,0,0,0,0,0,395
狱阎王,Manticore_Dark,Manticore_Dark,Manticore_Dark,BOSS_Manticore_Dark,-1,XL,8,Fire,FourLegged,105,100,115,80,100,100,20%,70%,10,4360,Boss,60,90,750,1000,420,1,0,FieldBoss,0,0,475,1,7,25,90,1,1,9,1,1,100,50,670,3,0,0,0,0,0,2,0,0,0,0,0,0,400
新叶猿,Monkey,Monkey,Monkey,BOSS_Monkey,-1,S,1,Leaf,Humanoid,80,100,70,70,100,100,40%,77%,10,1280,NotInterested,48,48,300,400,174,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1250,0,0,1,0,1,1,1,0,0,0,0,1,0,320
毛掸儿,MopBaby,MopBaby,MopBaby,BOSS_MopBaby,-1,S,1,Ice,Other,60,100,60,60,100,100,40%,77%,10,1110,NotInterested,55,100,250,400,175,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1300,0,0,0,0,0,1,0,0,0,0,1,0,0,280
毛老爹,MopKing,MopKing,MopKing,BOSS_MopKing,-1,XL,6,Ice,Other,100,100,90,90,100,100,40%,70%,10,6000,NotInterested,60,120,300,600,210,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,410,0,0,0,0,0,2,0,0,0,0,2,0,0,380
秘斯媞雅,Mutant,Mutant,Mutant,BOSS_Mutant,-1,XL,6,Normal,Humanoid,90,80,100,90,100,100,20%,70%,10,1760,Boss,80,130,500,650,315,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1110,0,0,0,0,3,1,0,0,0,0,0,1,0,360
笑魇猫,NaughtyCat,NaughtyCat,NaughtyCat,BOSS_NaughtyCat,-1,XL,6,Normal,FourLegged,110,100,80,80,100,100,20%,70%,10,5510,NotInterested,32,64,600,900,332,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,510,0,0,0,0,0,2,0,0,0,0,0,0,0,370
瞅什魔,NegativeKoala,NegativeKoala,NegativeKoala,BOSS_NegativeKoala,-1,M,1,Dark,Humanoid,70,70,70,70,100,100,40%,70%,10,1050,Boss,10,10,300,400,100,1,0,FieldBoss,0,0,150,1,2,25,90,1,1,9,0,1,100,50,1380,0,0,0,0,1,0,0,1,0,0,0,1,0,280
勾魂鱿,NegativeOctopus,NegativeOctopus,NegativeOctopus,BOSS_NegativeOctopus,-1,XL,1,Dark,Other,60,100,60,70,100,100,40%,70%,10,1200,NotInterested,60,120,400,550,260,1,0,FieldBoss,0,0,225,1,3,25,90,1,1,9,0,1,100,50,1290,0,0,0,0,0,1,0,0,0,0,0,2,0,290
露娜蒂,NightFox,NightFox,NightFox,BOSS_NightFox,-1,M,6,Dark,FourLegged,75,70,85,70,140,100,40%,70%,10,1480,NotInterested,30,60,300,500,164,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1180,0,0,0,0,0,1,0,0,0,0,0,0,0,300
企丸丸,Penguin,Penguin,Penguin,BOSS_Penguin,-1,M,1,Ice,Humanoid,70,70,75,70,100,100,40%,63%,10,1080,NotInterested,30,60,500,650,265,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1350,0,1,0,0,1,0,0,0,0,0,1,1,0,285
捣蛋猫,PinkCat,PinkCat,PinkCat,BOSS_PinkCat,-1,M,1,Normal,Humanoid,70,70,70,70,100,100,40%,105%,10,1000,NotInterested,30,60,400,550,160,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1460,0,0,0,0,1,1,0,1,0,0,0,1,0,280
does not appear in the game,PinkKangaroo,PinkKangaroo,PinkKangaroo,BOSS_PinkKangaroo,-1,XL,0,Normal,Humanoid,100,100,100,100,100,100,20%,70%,10,3660,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
fraternity lizard,PinkLizard,PinkLizard,PinkLizard,BOSS_PinkLizard,-1,XL,5,Normal,Humanoid,120,70,70,70,140,100,20%,70%,10,2450,Boss,90,170,750,850,460,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,0,1,100,30,940,0,0,0,0,2,0,0,1,0,2,0,2,0,330
Ji Xiaotu,PinkRabbit,PinkRabbit,PinkRabbit,BOSS_PinkRabbit,-1,S,1,Normal,Humanoid,75,100,65,70,100,100,20%,70%,10,1160,NotInterested,50,100,245,350,172,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1310,0,0,0,0,1,1,0,0,0,0,0,1,0,310
Ye NiNi,PlantSlime,PlantSlime,PlantSlime,BOSS_PlantSlime,-1,XL,1,Earth,Other,70,100,70,70,100,100,40%,91%,10,1310,NotInterested,50,50,300,400,175,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1240,0,0,1,0,0,0,0,0,0,0,0,0,0,310
Ye NiNi,PlantSlime_Flower,PlantSlime,PlantSlime,BOSS_PlantSlime_Flower,-1,XL,1,Earth,Other,70,100,70,70,100,100,40%,91%,10,1310,NotInterested,50,50,300,400,175,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1240,0,0,1,0,0,0,0,0,0,0,0,0,0,310
queen bee,QueenBee,QueenBee,QueenBee,BOSS_QueenBee,-1,XL,8,Leaf,Humanoid,90,100,105,100,100,100,20%,70%,10,6830,Boss,150,250,450,550,350,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,10,330,0,0,2,0,2,2,1,0,0,2,0,0,0,395
Thunder Boy,RaijinDaughter,RaijinDaughter,RaijinDaughter,BOSS_RaijinDaughter,-1,XL,2,Electricity,Humanoid,70,110,80,70,100,100,20%,70%,10,1390,NotInterested,120,200,400,550,300,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,20,1210,0,0,0,1,1,0,0,0,0,0,0,1,0,330
Flamingo,RedArmorBird,RedArmorBird,RedArmorBird,BOSS_RedArmorBird,-1,XL,7,Fire,Bird,95,100,105,120,100,100,20%,70%,10,6720,Boss,100,200,800,1400,375,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,0,1,1,150,50,380,3,0,0,0,0,0,0,0,0,0,0,3,0,420
Feather Archer,RobinHood,RobinHood,RobinHood,BOSS_RobinHood,-1,XL,0,Leaf,Humanoid,90,100,105,80,100,100,20%,70%,10,2050,Boss,100,100,600,750,400,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,1020,0,0,1,0,2,2,1,0,0,1,0,2,0,375
mountain shooter,RobinHood_Ground,RobinHood_Ground,RobinHood_Ground,BOSS_RobinHood_Ground,-1,XL,6,Leaf,Humanoid,90,100,105,80,100,100,20%,70%,10,2150,Boss,100,100,600,750,400,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,1000,0,0,0,0,2,2,1,0,0,1,0,2,0,375
Wave Blade Samurai,Ronin,Ronin,Ronin,BOSS_Ronin,-1,XL,7,Fire,Humanoid,80,100,125,80,100,100,20%,70%,10,4520,Boss,80,160,600,900,320,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,640,2,0,0,0,1,1,3,0,0,0,0,2,0,385
Knight of Light,SaintCentaur,SaintCentaur,SaintCentaur,BOSS_SaintCentaur,-1,XL,20,Normal,FourLegged,260,110,120,145,100,100,10%,70%,10,8810,Boss,50,100,800,1400,450,1,0,Legend,0,0,600,1,9,25,90,1,0,9,0,1,100,50,80,0,0,0,0,0,0,2,2,0,0,0,0,0,635
Lian Lilong,SakuraSaurus,SakuraSaurus,SakuraSaurus,BOSS_SakuraSaurus,-1,XL,7,Leaf,FourLegged,120,80,90,100,120,100,20%,70%,10,2920,NotInterested,50,75,350,600,200,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,50,860,0,0,3,0,0,0,0,0,0,0,0,0,0,390
Allother,SakuraSaurus_Water,SakuraSaurus_Water,SakuraSaurus_Water,BOSS_SakuraSaurus_Water,-1,XL,8,Leaf,FourLegged,120,80,95,100,120,100,20%,70%,10,3110,NotInterested,50,75,350,600,200,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,50,840,0,3,0,0,0,0,0,0,0,0,0,0,0,395
does not appear in the game,ScorpionMan,ScorpionMan,ScorpionMan,BOSS_ScorpionMan,-1,XL,0,Dark,Humanoid,100,100,100,100,100,100,20%,70%,10,8080,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,300,1,4,25,90,1,1,9,0,1,100,50,0,0,0,0,0,0,1,3,0,2,1,0,0,0,400
滑水蛇,Serpent,Serpent,Serpent,BOSS_Serpent,-1,XL,4,Water,Fish,90,70,90,80,100,100,20%,70%,10,5050,NotInterested,100,200,500,750,350,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,560,0,2,0,0,0,0,0,0,0,0,0,0,0,330
流沙蛇,Serpent_Ground,Serpent_Ground,Serpent_Ground,BOSS_Serpent_Ground,-1,XL,5,Earth,Fish,90,70,90,100,100,100,20%,70%,10,5140,NotInterested,100,200,500,750,350,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,550,0,0,0,0,0,1,0,0,0,0,0,0,0,350
Shark,SharkKid,SharkKid,SharkKid,BOSS_SharkKid,-1,M,2,Water,Humanoid,90,90,90,75,100,100,20%,70%,10,1840,Boss,50,80,400,500,120,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,100,50,1090,0,2,0,0,1,0,0,0,0,0,0,1,0,345
红小黄,SharkKid_Fire,SharkKid_Fire,SharkKid_Fire,BOSS_SharkKid_Fire,-1,M,3,Fire,Humanoid,90,90,90,75,100,100,20%,70%,10,1800,Boss,50,80,400,500,120,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,100,50,1100,2,0,0,0,1,0,0,0,0,0,0,1,0,345
棉悠悠,SheepBall,SheepBall,SheepBall,BOSS_SheepBall,-1,M,1,Normal,Humanoid,70,70,70,70,100,100,40%,105%,10,1000,NotInterested,23,40,400,550,160,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1470,0,0,0,0,1,0,0,0,0,0,0,1,1,280
does not appear in the game,SifuDog,SifuDog,SifuDog,BOSS_SifuDog,-1,XL,0,Normal,Humanoid,100,100,100,100,100,100,20%,70%,10,4440,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,0,0,0,0,0,3,2,2,0,0,1,0,2,0,400
天羽龙,SkyDragon,SkyDragon,SkyDragon,BOSS_SkyDragon,-1,XL,7,Dragon,Dragon,105,100,100,100,100,100,20%,70%,10,6830,Boss,120,240,800,1050,470,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,220,50,350,0,0,0,0,1,2,0,2,0,0,0,3,0,405
骑士蜂,SoldierBee,SoldierBee,SoldierBee,BOSS_SoldierBee,-1,XL,4,Leaf,Humanoid,80,100,90,90,100,100,20%,70%,10,1880,Boss,125,250,450,550,350,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,10,1070,0,0,1,0,1,1,1,0,0,1,0,2,1,360
朱雀,Suzaku,Suzaku,Suzaku,BOSS_Suzaku,-1,XL,8,Fire,Bird,120,100,105,105,100,100,20%,70%,10,9840,Boss,100,200,850,1200,450,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,0,1,350,50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,430
清雀,Suzaku_Water,Suzaku_Water,Suzaku_Water,BOSS_Suzaku_Water,-1,XL,9,Water,Bird,125,100,105,105,100,100,20%,70%,10,10110,Boss,100,200,850,1200,450,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,0,1,350,50,30,0,3,0,0,0,0,0,0,0,0,0,0,0,435
棉花糖,SweetsSheep,SweetsSheep,SweetsSheep,BOSS_SweetsSheep,-1,XL,3,Normal,FourLegged,70,70,70,90,100,100,20%,70%,10,1450,NotInterested,50,100,300,400,200,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1190,0,0,0,0,0,0,0,0,0,0,0,0,1,300
does not appear in the game,TentacleTurtle,TentacleTurtle,TentacleTurtle,BOSS_TentacleTurtle,-1,XL,0,Water,Other,100,100,100,100,100,100,20%,70%,10,2300,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,0,0,1,0,0,0,2,0,400
迅雷鸟,ThunderBird,ThunderBird,ThunderBird,BOSS_ThunderBird,-1,XL,6,Electricity,Bird,105,100,115,80,100,100,20%,70%,10,7490,Boss,100,200,750,1300,375,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,160,50,220,0,0,0,2,0,1,0,0,0,0,0,3,0,400
霹雳犬,ThunderDog,ThunderDog,ThunderDog,BOSS_ThunderDog,-1,XL,5,Electricity,FourLegged,90,100,100,80,100,100,20%,70%,10,3880,Boss,110,210,700,1200,455,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,740,0,0,0,2,0,0,0,0,0,0,0,0,0,370
覆海龙,Umihebi,Umihebi,Umihebi,BOSS_Umihebi,-1,XL,8,Dragon,Fish,130,150,120,100,100,100,20%,70%,10,9320,Boss,100,175,525,800,350,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,310,0,4,0,0,0,0,0,0,0,0,0,0,0,500
腾炎龙,Umihebi_Fire,Umihebi_Fire,Umihebi_Fire,BOSS_Umihebi_Fire,-1,XL,9,Dragon,Fish,130,150,130,100,100,100,20%,70%,10,9320,Boss,100,175,525,800,350,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,315,4,0,0,0,0,0,0,0,0,0,0,0,0,510
薇莉塔,VioletFairy,VioletFairy,VioletFairy,BOSS_VioletFairy,-1,XL,8,Leaf,Humanoid,100,100,100,120,100,100,20%,70%,10,1960,NotInterested,100,150,400,550,275,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,1050,0,0,2,0,2,2,0,0,0,3,0,1,0,420
熔岩兽,VolcanicMonster,VolcanicMonster,VolcanicMonster,BOSS_VolcanicMonster,-1,XL,0,Fire,FourLegged,110,100,105,120,100,100,20%,70%,10,6940,Boss,50,80,390,650,235,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,320,3,0,0,0,0,0,0,3,0,0,0,0,0,435
寒霜兽,VolcanicMonster_Ice,VolcanicMonster_Ice,VolcanicMonster_Ice,BOSS_VolcanicMonster_Ice,-1,XL,7,Ice,FourLegged,110,100,105,130,100,100,20%,70%,10,7380,Boss,50,80,390,650,235,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,230,0,0,0,0,0,0,0,3,0,0,3,0,0,445
does not appear in the game,WaterLizard,WaterLizard,WaterLizard,BOSS_WaterLizard,-1,XL,0,Fire,Humanoid,90,120,90,90,80,100,20%,70%,10,4040,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
疾旋鼬,WeaselDragon,WeaselDragon,WeaselDragon,BOSS_WeaselDragon,-1,XL,4,Ice,FourLegged,90,100,80,80,100,100,40%,70%,10,3310,NotInterested,100,180,600,900,390,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,800,0,0,0,0,0,1,0,0,0,0,1,0,0,350
月镰魔,Werewolf,Werewolf,Werewolf,BOSS_Werewolf,-1,XL,3,Dark,Humanoid,80,130,100,80,100,100,20%,70%,10,2400,Boss,100,150,600,800,375,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,1,1,100,50,950,0,0,0,0,2,0,0,0,0,0,0,0,0,390
绸笠蛾,WhiteMoth,WhiteMoth,WhiteMoth,BOSS_WhiteMoth,-1,XL,7,Ice,Humanoid,110,90,90,100,90,100,20%,70%,10,5900,Boss,50,100,400,550,250,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,450,0,0,0,0,0,0,0,0,0,2,2,0,1,390
冰棘兽,WhiteTiger,WhiteTiger,WhiteTiger,BOSS_WhiteTiger,-1,XL,7,Ice,Humanoid,100,140,100,110,100,100,20%,70%,10,8440,Boss,100,280,720,900,460,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,130,0,0,0,0,1,0,2,0,0,0,3,0,0,450
吊缚灵,WindChimes,WindChimes,WindChimes,BOSS_WindChimes,-1,XL,1,Earth,Other,80,70,70,70,100,100,20%,70%,10,1020,NotInterested,50,100,400,550,250,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1420,0,0,0,0,1,1,0,0,0,0,0,2,0,290
冰缚灵,WindChimes_Ice,WindChimes_Ice,WindChimes_Ice,BOSS_WindChimes_Ice,-1,XL,2,Ice,Other,80,70,80,70,100,100,20%,70%,10,1020,NotInterested,50,100,400,550,250,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1422,0,0,0,0,1,1,0,0,0,0,1,2,0,300
does not appear in the game,WingGolem,WingGolem,WingGolem,BOSS_WingGolem,-1,XL,0,Earth,Humanoid,100,100,100,100,100,100,20%,70%,10,10380,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,50,0,0,0,0,0,1,1,0,3,0,0,0,4,0,400
啼卡尔,WizardOwl,WizardOwl,WizardOwl,BOSS_WizardOwl,-1,M,1,Dark,Bird,70,70,70,80,100,100,40%,70%,10,1050,NotInterested,26,70,380,550,225,1,0,FieldBoss,0,0,225,1,3,25,90,1,1,9,0,1,100,50,1390,0,0,0,0,0,1,0,0,0,0,0,0,0,290
米露菲,WoolFox,WoolFox,WoolFox,BOSS_WoolFox,-1,M,1,Normal,FourLegged,70,100,70,75,100,100,40%,91%,10,1420,NotInterested,20,40,300,450,170,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1455,0,0,0,0,0,1,0,0,0,0,0,0,1,315
白绒雪怪,Yeti,Yeti,Yeti,BOSS_Yeti,-1,XL,7,Ice,Humanoid,140,100,80,100,100,100,20%,70%,10,5900,Boss,70,100,365,650,150,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,1,1,100,50,460,0,0,0,0,2,0,3,0,0,0,2,4,0,420
绿苔绒怪,Yeti_Grass,Yeti_Grass,Yeti_Grass,BOSS_Yeti_Grass,-1,XL,8,Leaf,Humanoid,140,100,80,110,100,100,20%,70%,10,5700,Boss,70,100,365,650,150,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,1,1,100,50,480,0,0,1,0,2,0,3,0,0,0,0,4,0,430
