id,chinese_name,name,codename,overridenametextid,overridepartnerskilltextid,ispal,tribe,bpclass,variant,volume_size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,nocturnal,4d_total,hp,melee_attack,remote_attack,defense,support,speed_of_work,level_1,level_20,level_50,airresponse,endurance,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,being_damage_multiplier,catch_rate,experience_multiplier,price,must_bring_entry_1,must_bring_entry_2,numerical_description,lv1,lv2,lv3,lv4,lv5,skill_description
55,Whirling Weasel,Chillet,WeaselDragon,,,1,EPalTribeID::WeaselDragon,WeaselDragon,,M,4,ice,dragon,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,350,90,100,80,80,100,100,0,0,0,Escape_to_Battle,100,100,180,600,800,100%,100%,100%,3450,,,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant the player's attacks the elemental Dragon.
56,thunder wildebeest,Univolt,Kirin,,,1,EPalTribeID::Kirin,Kirin,,M,5,electricity,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,400,80,110,105,105,100,100,0,0,0,NotInterested,100,80,130,720,1100,100%,90%,100%,4280,,,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant elemental Electricity to the player's attacks.
57,blowing snow fox,Foxcicle,IceFox,,,1,EPalTribeID::IceFox,IceFox,,S,5,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,390,90,100,95,105,100,100,0,0,0,Warlike,100,65,130,600,0,100%,100%,100%,3730,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Ice Palu will be increased."
58,fire unicorn,Pyrin,FireKirin,,,1,EPalTribeID::FireKirin,FireKirin,,L,6,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,100,110,95,90,100,100,0,0,0,Warlike,100,100,150,850,1300,100%,100%,100%,6720,,,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant elemental Fire to the player's attacks.
58,evil unicorn,Pyrin Noct,FireKirin_Dark,,,1,EPalTribeID::FireKirin_Dark,FireKirin_Dark,yes,L,7,fire,dark,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,395,100,110,95,90,100,100,0,0,0,Warlike,100,100,150,850,1300,100%,100%,100%,7270,,,Attack power bonus%,50,55,65,80,100,"Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks."
59,Deer in severe winter,Reindrix,IceDeer,,,1,EPalTribeID::IceDeer,IceDeer,,M,4,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,100,80,85,110,100,100,0,0,0,Warlike,100,35,70,550,700,100%,100%,100%,2800,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won't feel the heat during the ride and it's quite cool.
60,thunder dog,Rayhound,ThunderDog,,,1,EPalTribeID::ThunderDog,ThunderDog,,M,5,electricity,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,370,90,100,100,80,100,100,0,0,0,Warlike,100,110,210,700,1150,100%,100%,100%,3880,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.
61,Blue Flame Wolf,Kitsun,AmaterasuWolf,,,1,EPalTribeID::AmaterasuWolf,AmaterasuWolf,,M,6,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,385,100,70,115,100,110,100,0,0,0,NotInterested,100,80,130,700,900,100%,100%,100%,3170,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won't be affected by cold or heat while riding.
62,Thunder Boy,Dazzi,RaijinDaughter,,,1,EPalTribeID::RaijinDaughter,RaijinDaughter,,XS,2,electricity,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,70,110,80,70,100,100,0,0,0,Escape_to_Battle,100,120,200,400,0,100%,100%,100%,1390,,,Skill power multiplier,1,1,1,1,2,"If it is in the party, it will appear next to the player. It will cooperate with the player's offensive to pursue with thunder."
63,Mystia,Lunaris,Mutant,,,1,EPalTribeID::Mutant,Mutant,,M,6,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,360,90,80,100,90,100,100,0,0,0,NotInterested,100,80,130,500,0,100%,100%,100%,1760,,,Increased weight bearing,80,90,100,110,120,"If Mutant is in the team, it can increase the player's upper limit of weight through its anti-gravity."
64,Corolla dragon,Dinossom,FlowerDinosaur,,,1,EPalTribeID::FlowerDinosaur,FlowerDinosaur,,L,6,Wood,dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,110,90,85,90,150,100,0,0,0,Friendly,100,70,120,550,700,100%,100%,100%,3240,,,Elemental power bonus%_Leaf,50,55,65,80,100,Can be moved around on its back. Elemental Leaf attacks during riding will be strengthened.
64,Thunder Guanlong,Dinossom Lux,FlowerDinosaur_Electric,,,1,EPalTribeID::FlowerDinosaur_Electric,FlowerDinosaur_Electric,yes,L,7,electricity,dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,380,110,90,90,90,150,100,0,0,0,Friendly,100,70,120,550,700,100%,100%,100%,3380,,,Elemental power bonus%_Electricity,50,55,65,80,100,Can be moved around on its back. Elemental Electricity attacks during riding will be strengthened.
65,water-sliding snake,Surfent,Serpent,,,1,EPalTribeID::Serpent,Serpent,,M,4,water,,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,90,70,90,80,100,100,0,0,0,Warlike,100,100,200,500,650,100%,100%,100%,5050,,,Moving speed%,0,10,12,15,20,Can ride on its back and move through the water. Moving on water while riding does not consume stamina.
65,quicksand snake,Surfent Terra,Serpent_Ground,,,1,EPalTribeID::Serpent_Ground,Serpent_Ground,yes,M,5,land,,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,350,90,70,90,100,100,100,0,0,0,Warlike,100,100,200,500,650,100%,100%,100%,5140,,,Moving speed%,0,10,12,15,20,Can be moved around on its back.
66,Soul Eater,Maraith,GhostBeast,,,1,EPalTribeID::GhostBeast,GhostBeast,,M,6,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,310,75,50,105,80,100,100,0,0,0,Warlike,100,100,160,600,800,100%,100%,100%,1570,,,Attack power bonus%,50,55,65,80,100,"Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks."
67,Rock Crusher Turtle,Digtoise,DrillGame,,,1,EPalTribeID::DrillGame,DrillGame,,M,5,land,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,80,80,95,120,100,100,0,0,0,Warlike,100,75,120,300,0,100%,100%,100%,2980,hard skin,,Skill power multiplier,1,1,1,2,2,"After launching, it will enter the Unique_DrillGame_ShellAttack state. It will follow the player as it spins, destroying ores efficiently."
68,cat bat monster,Tombat,CatBat,,,1,EPalTribeID::CatBat,CatBat,,M,5,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,370,95,100,95,80,100,100,0,0,0,Warlike,100,80,140,400,0,100%,100%,100%,3810,,,distance,10000,11000,13000,16000,20000,"Once activated, it can detect the location of nearby pallu using ultrasonic waves."
69,fraternity lizard,Lovander,PinkLizard,,,1,EPalTribeID::PinkLizard,PinkLizard,,L,5,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,330,120,70,70,70,140,100,0,0,0,Warlike,100,90,170,750,0,100%,100%,100%,2450,Uncharacteristically,,life drain %,2,3,4,5,6,"When fighting alongside it, it can give the player and PinkLizard a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP."
70,Rong Yan Niang,Flambelle,LavaGirl,,,1,EPalTribeID::LavaGirl,LavaGirl,,XS,1,fire,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,60,100,70,80,100,100,0,0,0,Escape_to_Battle,100,65,98,250,0,130%,110%,100%,2500,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to create FireOrgan.
71,Fenggelong,Vanwyrm,BirdDragon,,,1,EPalTribeID::BirdDragon,BirdDragon,,L,4,fire,dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,1,395,90,100,115,90,100,100,0,0,0,Warlike,150,100,350,700,850,100%,100%,100%,4360,,,Weakness bonus %,20,22,26,32,40,You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.
71,Frost Song Dragon,Vanwyrm Cryst,BirdDragon_Ice,,,1,EPalTribeID::BirdDragon_Ice,BirdDragon_Ice,yes,L,5,ice,dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,1,405,90,100,120,95,100,100,0,0,0,Warlike,150,100,350,700,850,100%,100%,100%,4610,,,Weakness bonus %,20,22,26,32,40,You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.
72,Wave Blade Samurai,Bushi,Ronin,,,1,EPalTribeID::Ronin,Ronin,,M,7,fire,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,385,80,100,125,80,100,100,0,0,0,Warlike,100,80,160,600,0,100%,100%,100%,4520,,,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with extremely powerful Unique_Ronin_Iai."
73,Thunderbird,Beakon,ThunderBird,,,1,EPalTribeID::ThunderBird,ThunderBird,,L,6,electricity,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,400,105,100,115,80,100,100,0,0,0,Warlike,160,100,200,750,1200,100%,100%,100%,7490,,,Attack power bonus%,50,55,65,80,100,You can ride on its back and fly in the air. While mounted it will grant elemental Electricity to the player's attacks.
74,Flamingo,Ragnahawk,RedArmorBird,,,1,EPalTribeID::RedArmorBird,RedArmorBird,,L,7,fire,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,420,95,100,105,120,100,100,0,0,0,Warlike,150,100,200,800,1300,100%,100%,100%,6720,,,Attack power bonus%,50,55,65,80,100,You can ride on its back and fly in the air. While mounted it will grant elemental Fire to the player's attacks.
75,dark witch cat,Katress,CatMage,,,1,EPalTribeID::CatMage,CatMage,,M,6,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,385,90,100,105,90,100,100,0,0,0,Warlike,100,70,145,440,0,100%,100%,100%,4120,,,Drop increase%_Normal,40,50,60,70,80,"When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu."
76,Flame Witch Fox,Wixen,FoxMage,,,1,EPalTribeID::FoxMage,FoxMage,,M,6,fire,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,90,50,110,80,120,100,0,0,0,Escape_to_Battle,100,70,145,440,0,100%,100%,100%,1540,,,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant elemental Fire to the player's attacks."
77,spring rabbit,Verdash,GrassRabbitMan,,,1,EPalTribeID::GrassRabbitMan,GrassRabbitMan,,M,8,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,90,100,115,90,100,100,0,0,0,Warlike,100,50,195,500,0,100%,100%,100%,2200,,,Moving speed%,20,22,26,32,40,"When fighting alongside it, the player's movement speed will be increased, and it will also grant elemental Leaf to the player's attacks."
78,Verita,Vaelet,VioletFairy,,,1,EPalTribeID::VioletFairy,VioletFairy,,M,8,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,420,100,100,100,120,100,100,0,0,0,Warlike,100,100,150,400,0,100%,100%,100%,1960,,,Drop increased by %_Earth,40,50,60,70,80,"When fighting alongside it, if you knock down the Pallu of Elemental Earth, you can get more dropped items from that Pallu."
79,silk moth,Sibelyx,WhiteMoth,,,1,EPalTribeID::WhiteMoth,WhiteMoth,,L,7,ice,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,390,110,90,90,100,90,100,0,0,0,Escape_to_Battle,100,50,100,400,0,100%,100%,100%,5900,,,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful IcicleThrow. Assign it to Palu Ranch and it will have a chance to create Cloth2."
80,Faerie Dragon,Elphidran,FairyDragon,,,1,EPalTribeID::FairyDragon,FairyDragon,,L,7,dragon,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,360,110,80,80,90,100,100,0,0,0,Escape_to_Battle,130,83,83,630,800,100%,100%,100%,5230,,,Drop increased by %_Dark,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Dark's pallu, you can get more dropped items from that pallu."
80,Water Spirit Dragon,Elphidran Aqua,FairyDragon_Water,,,1,EPalTribeID::FairyDragon_Water,FairyDragon_Water,yes,L,8,dragon,water,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,370,115,80,80,95,100,100,0,0,0,Escape_to_Battle,130,83,83,630,800,100%,100%,100%,5320,,,Drop increased by %_Fire,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu."
81,Shui Linger,Kelpsea,Kelpie,,,1,EPalTribeID::Kelpie,Kelpie,,XS,1,water,,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,70,100,70,70,100,100,0,0,0,NotInterested,100,50,100,700,0,100%,100%,100%,1260,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Water Palu's attack power will be increased."
81,Huo Linger,Kelpsea Ignis,Kelpie_Fire,,,1,EPalTribeID::Kelpie_Fire,Kelpie_Fire,,XS,2,fire,,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,70,100,70,70,100,100,0,0,0,NotInterested,100,50,100,700,0,100%,100%,100%,1240,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Fire Palu's attack power will be increased."
82,Bihailong,Azurobe,BlueDragon,,,1,EPalTribeID::BlueDragon,BlueDragon,,L,7,water,dragon,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,380,110,70,100,100,100,100,0,0,0,Escape_to_Battle,100,75,150,600,800,100%,100%,100%,5600,,,Attack power bonus%,50,55,65,80,100,"Can ride on its back and move around on water. While mounted, it will grant elemental Water to the player's attacks."
83,Ice Thorn Beast,Cryolinx,WhiteTiger,,,1,EPalTribeID::WhiteTiger,WhiteTiger,,L,7,ice,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,450,100,140,100,110,100,100,0,0,0,Warlike,100,100,280,720,0,100%,100%,100%,8440,,,Drop increased by %_Dragon,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Dragon's pallu, you can get more dropped items from that pallu."
84,Hellfire King,Blazehowl,Manticore,,,1,EPalTribeID::Manticore,Manticore,,L,7,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,105,100,110,80,100,100,0,0,0,Warlike,100,90,180,750,900,100%,100%,100%,4040,,,Drop increased by %_Leaf,40,50,60,70,80,"Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Leaf's pallu, you can get more dropped items from that pallu."
84,Hell King,Blazehowl Noct,Manticore_Dark,,,1,EPalTribeID::Manticore_Dark,Manticore_Dark,yes,L,8,fire,dark,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,400,105,100,115,80,100,100,0,0,0,Warlike,100,60,90,750,900,100%,100%,100%,4360,,,Drop increase%_Normal,40,50,60,70,80,"Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu."
85,Pecorone,Relaxaurus,LazyDragon,,,1,EPalTribeID::LazyDragon,LazyDragon,,XL,8,dragon,water,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,0,0,390,110,110,100,70,100,100,0,0,0,Warlike,100,40,60,650,800,100%,100%,100%,10240,Greedy,,Skill power,10,11,13,16,20,Can be moved around on its back. It can also continuously attack with its missile launcher while riding.
85,Parker,Relaxaurus Lux,LazyDragon_Electric,,,1,EPalTribeID::LazyDragon_Electric,LazyDragon_Electric,yes,XL,9,dragon,electricity,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,0,0,405,110,110,110,75,100,100,0,0,0,Warlike,100,40,60,650,800,100%,100%,100%,10380,,,Skill power,10,11,13,16,20,Can be moved around on its back. It can also continuously attack with its missile launcher while riding.
86,Lian Lilong,Broncherry,SakuraSaurus,,,1,EPalTribeID::SakuraSaurus,SakuraSaurus,,XL,7,Wood,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,390,120,80,90,100,120,100,0,0,0,NotInterested,100,50,75,350,500,100%,100%,100%,2920,,,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If SakuraSaurus is in the team, it will help carry luggage and increase the player's maximum weight limit."
86,Allother,Broncherry Aqua,SakuraSaurus_Water,,,1,EPalTribeID::SakuraSaurus_Water,SakuraSaurus_Water,yes,XL,8,Wood,water,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,120,80,95,100,120,100,0,0,0,NotInterested,100,50,75,350,500,100%,100%,100%,3110,,,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If SakuraSaurus_Water is in the team, it will help carry luggage and increase the player's upper limit of weight."
87,Hualina,Petallia,FlowerDoll,,,1,EPalTribeID::FlowerDoll,FlowerDoll,,M,8,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,100,100,95,100,100,100,0,0,0,Escape_to_Battle,100,100,150,550,0,100%,100%,100%,3590,,,treatment value,400,440,520,640,800,"When activated, the player's health can be restored through the healing power of the flowers."
88,Lava Beast,Reptyro,VolcanicMonster,,,1,EPalTribeID::VolcanicMonster,VolcanicMonster,,L,6,fire,land,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,435,110,100,105,120,100,100,0,0,0,Warlike,100,50,80,390,550,100%,100%,100%,6940,,,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying ore will be more efficient while riding.
88,Frost Beast,Ice Reptyro,VolcanicMonster_Ice,,,1,EPalTribeID::VolcanicMonster_Ice,VolcanicMonster_Ice,yes,L,7,ice,land,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,445,110,100,105,130,100,100,0,0,0,Warlike,100,50,80,390,550,100%,100%,100%,7380,,,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying ore will be more efficient while riding.
89,King Melupa,Kingpaca,KingAlpaca,,,1,EPalTribeID::KingAlpaca,KingAlpaca,,XL,8,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,120,100,85,90,100,100,0,0,0,Escape_to_Battle,100,80,80,500,700,100%,100%,100%,5800,,,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If KingAlpaca is in the team, it will help carry luggage and increase the player's maximum weight limit."
89,Ice Emperor Melpa,Ice Kingpaca,KingAlpaca_Ice,,,1,EPalTribeID::KingAlpaca_Ice,KingAlpaca_Ice,yes,XL,9,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,120,100,85,90,100,100,0,0,0,Escape_to_Battle,100,80,80,500,700,100%,100%,100%,6100,,,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If KingAlpaca_Ice is in the team, it will help carry luggage and increase the player's maximum weight limit."
90,Mammoth,Mammorest,GrassMammoth,,,1,EPalTribeID::GrassMammoth,GrassMammoth,,XL,8,Wood,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,425,150,100,85,90,30,100,0,0,0,NotInterested,100,100,135,430,600,100%,100%,100%,9450,,,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying trees and ores while riding will be more efficient.
90,snow mammoth,Mammorest Cryst,GrassMammoth_Ice,,,1,EPalTribeID::GrassMammoth_Ice,GrassMammoth_Ice,yes,XL,9,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,425,150,100,85,90,30,100,0,0,0,NotInterested,100,100,135,430,600,100%,100%,100%,9580,,,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying trees and ores while riding will be more efficient.
91,White Velvet Snow Monster,Wumpo,Yeti,,,1,EPalTribeID::Yeti,Yeti,,L,7,ice,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,420,140,100,80,100,100,100,0,0,0,Warlike,100,70,100,365,550,100%,100%,100%,5900,,,Increased weight bearing,120,130,140,150,160,"Can be moved around on its back. If Yeti is in the team, it will help carry luggage and increase the player's maximum weight limit."
91,Green Moss Velvet,Wumpo Botan,Yeti_Grass,,,1,EPalTribeID::Yeti_Grass,Yeti_Grass,,L,8,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,430,140,100,80,110,100,100,0,0,0,Warlike,100,70,100,365,550,100%,100%,100%,5700,,,Increased weight bearing,120,130,140,150,160,"Can be moved around on its back. If Yeti_Grass is in the team, it will help carry luggage and increase the player's maximum weight limit."
92,Kaigres,Warsect,HerculesBeetle,,,1,EPalTribeID::HerculesBeetle,HerculesBeetle,,L,8,land,Wood,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,440,120,100,100,120,100,100,0,0,0,Warlike,100,55,110,500,0,100%,100%,100%,6830,hard skin,,Defense bonus %,5,6,7,8,10,"When fighting alongside it, the player's defense will be increased and the damage of elemental fire can be mitigated."
93,Cloud sea deer,Fenglope,FengyunDeeper,,,1,EPalTribeID::FengyunDeeper,FengyunDeeper,,S,3,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,420,110,110,110,90,100,100,0,0,0,NotInterested,100,85,100,750,1050,100%,100%,100%,2250,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.
94,Night Mephit,Felbat,CatVampire,,,1,EPalTribeID::CatVampire,CatVampire,,M,6,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,415,100,100,105,110,110,100,0,0,0,Warlike,100,60,100,550,0,100%,100%,100%,2100,,,life drain %,2,3,4,5,6,"When fighting alongside it, it can give the player and CatVampire a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP."
95,Tianyulong,Quivern,SkyDragon,,,1,EPalTribeID::SkyDragon,SkyDragon,,L,7,dragon,,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,0,0,405,105,100,100,100,100,100,0,0,0,NotInterested,220,120,240,800,950,100%,100%,100%,6830,,,Elemental power bonus%_Dragon,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Dragon attacks will be strengthened while riding."
96,Flame Glory,Blazamut,KingBahamut,,,1,EPalTribeID::KingBahamut,KingBahamut,,XL,9,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,495,100,150,125,120,50,100,0,0,0,Warlike,100,150,400,700,900,100%,100%,100%,10520,Emperor Yan,,Elemental power bonus%_Fire,50,55,65,80,100,Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.
97,Thunderbird,Helzephyr,HadesBird,,,1,EPalTribeID::HadesBird,HadesBird,,L,7,dark,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,1,425,100,100,125,100,100,100,0,0,0,Warlike,170,100,100,700,1100,100%,100%,100%,7840,,,Attack power bonus%,50,55,65,80,100,"You can ride on its back and fly in the air. While mounted, it will grant elemental Dark to the player's attacks."
98,Demon Dragon,Astegon,BlackMetalDragon,,,1,EPalTribeID::BlackMetalDragon,BlackMetalDragon,,XL,9,dragon,dark,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,0,1,450,100,100,125,125,100,100,0,0,0,Warlike,300,100,150,600,800,100%,100%,100%,8200,hard skin,,Mining bonus+,1100,1500,2000,2600,3300,You can ride on its back and fly in the air. Can cause greater damage to ores while riding.
99,Dark Armored Scorpion,Menasting,DarkScorpion,,,1,EPalTribeID::DarkScorpion,DarkScorpion,,L,9,dark,land,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,1,430,100,100,100,130,100,100,0,0,0,Warlike,100,100,200,1000,0,100%,100%,100%,7050,,,Drops increased by %_Electricity,40,50,60,70,80,"When fighting side by side with it, the player's defense will be improved. If you knock down the elemental Electricity's Palu, you can get more dropped items from the Pallu."
100,Anubis,Anubis,Anubis,,,1,EPalTribeID::Anubis,Anubis,,M,10,land,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,480,120,130,130,100,100,100,0,0,0,Warlike,100,80,160,800,0,100%,100%,100%,4960,Yandi,,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant the player's attacks elemental Earth. During combat, he will occasionally move at high speed to avoid attacks."
101,Sea-covering dragon,Jormuntide,Umihebi,,,1,EPalTribeID::Umihebi,Umihebi,,XL,8,dragon,water,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,500,130,150,120,100,100,100,0,0,0,Warlike,100,100,175,525,700,100%,100%,100%,9320,Neptune,,Moving speed%,0,10,12,15,20,Can ride on its back and move through the water. Moving on water while riding does not consume stamina.
101,Teng Yanlong,Jormuntide Ignis,Umihebi_Fire,,,1,EPalTribeID::Umihebi_Fire,Umihebi_Fire,yes,XL,9,dragon,fire,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,510,130,150,130,100,100,100,0,0,0,Warlike,100,100,175,525,700,100%,100%,100%,9500,,,Elemental power bonus%_Fire,50,55,65,80,100,Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.
102,Suzaku,Suzaku,Suzaku,,,1,EPalTribeID::Suzaku,Suzaku,,XL,8,fire,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,430,120,100,105,105,100,100,0,0,0,Warlike,280,100,200,850,1100,100%,100%,100%,9840,,,Elemental power bonus%_Fire,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Fire attacks will be strengthened while riding."
102,Qingque,Suzaku Aqua,Suzaku_Water,,,1,EPalTribeID::Suzaku_Water,Suzaku_Water,yes,XL,9,water,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,435,125,100,105,105,100,100,0,0,0,Warlike,280,100,200,850,1100,100%,100%,100%,10110,,,Elemental power bonus%_Water,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Water attack will be strengthened while riding."
